variant,profile,streams,rep,goodput_mbps
mqvpn-single,asymmetric,8,3,271.69
mqvpn-single,asymmetric,8,4,271.80
mqvpn-single,asymmetric,8,5,270.05
mqvpn-single,asymmetric,16,1,270.02
mqvpn-single,asymmetric,16,2,271.58
mqvpn-single,asymmetric,16,3,271.74
mqvpn-single,asymmetric,16,4,271.63
mqvpn-single,asymmetric,16,5,270.80
mqproxy-single,asymmetric,1,1,265.71
mqproxy-single,asymmetric,1,2,264.92
mqproxy-single,asymmetric,1,3,266.29
mqproxy-single,asymmetric,1,4,265.50
mqproxy-single,asymmetric,1,5,266.34
mqproxy-single,asymmetric,2,1,272.68
mqproxy-single,asymmetric,2,2,272.79
mqproxy-single,asymmetric,2,3,272.11
mqproxy-single,asymmetric,2,4,272.73
mqproxy-single,asymmetric,2,5,272.49
mqproxy-single,asymmetric,4,1,275.30
mqproxy-single,asymmetric,4,2,275.58
mqproxy-single,asymmetric,4,3,275.62
mqproxy-single,asymmetric,4,4,275.41
mqproxy-single,asymmetric,4,5,275.52
mqproxy-single,asymmetric,8,1,278.09
mqproxy-single,asymmetric,8,2,277.97
mqproxy-single,asymmetric,8,3,278.03
mqproxy-single,asymmetric,8,4,278.07
mqproxy-single,asymmetric,8,5,277.92
mqproxy-single,asymmetric,16,1,279.08
mqproxy-single,asymmetric,16,2,279.24
mqproxy-single,asymmetric,16,3,279.19
mqproxy-single,asymmetric,16,4,279.17
mqproxy-single,asymmetric,16,5,279.24
mqvpn-minrtt,asymmetric,1,1,250.76
mqvpn-minrtt,asymmetric,1,2,258.26
mqvpn-minrtt,asymmetric,1,3,253.49
mqvpn-minrtt,asymmetric,1,4,265.91
mqvpn-minrtt,asymmetric,1,5,265.98
mqvpn-minrtt,asymmetric,2,1,267.96
mqvpn-minrtt,asymmetric,2,2,267.96
mqvpn-minrtt,asymmetric,2,3,266.92
mqvpn-minrtt,asymmetric,2,4,265.34
mqvpn-minrtt,asymmetric,2,5,265.45
mqvpn-minrtt,asymmetric,4,1,268.23
mqvpn-minrtt,asymmetric,4,2,268.85
mqvpn-minrtt,asymmetric,4,3,267.18
mqvpn-minrtt,asymmetric,4,4,266.71
mqvpn-minrtt,asymmetric,4,5,266.29
mqvpn-minrtt,asymmetric,8,1,268.43
mqvpn-minrtt,asymmetric,8,2,269.76
mqvpn-minrtt,asymmetric,8,3,275.25
mqvpn-minrtt,asymmetric,8,4,271.85
mqvpn-minrtt,asymmetric,8,5,267.95
mqvpn-minrtt,asymmetric,16,1,275.51
mqvpn-minrtt,asymmetric,16,2,274.67
mqvpn-minrtt,asymmetric,16,3,272.95
mqvpn-minrtt,asymmetric,16,4,270.38
mqvpn-minrtt,asymmetric,16,5,300.42
mqvpn-wlb,asymmetric,1,1,251.03
mqvpn-wlb,asymmetric,1,2,257.32
mqvpn-wlb,asymmetric,1,3,266.64
mqvpn-wlb,asymmetric,1,4,266.33
mqvpn-wlb,asymmetric,1,5,267.28
mqvpn-wlb,asymmetric,2,1,298.69
mqvpn-wlb,asymmetric,2,2,303.93
mqvpn-wlb,asymmetric,2,3,317.04
mqvpn-wlb,asymmetric,2,4,325.27
mqvpn-wlb,asymmetric,2,5,258.32
mqvpn-wlb,asymmetric,4,1,295.65
mqvpn-wlb,asymmetric,4,2,309.13
mqvpn-wlb,asymmetric,4,3,320.70
mqvpn-wlb,asymmetric,4,4,306.18
mqvpn-wlb,asymmetric,4,5,310.17
mqvpn-wlb,asymmetric,8,1,313.11
mqvpn-wlb,asymmetric,8,2,313.26
mqvpn-wlb,asymmetric,8,3,313.16
mqvpn-wlb,asymmetric,8,4,314.15
mqvpn-wlb,asymmetric,8,5,312.84
mqvpn-wlb,asymmetric,16,1,327.78
mqvpn-wlb,asymmetric,16,2,328.78
mqvpn-wlb,asymmetric,16,3,326.36
mqvpn-wlb,asymmetric,16,4,329.98
mqvpn-wlb,asymmetric,16,5,326.31
mqproxy-tcp,asymmetric,1,1,335.02
mqproxy-tcp,asymmetric,1,2,325.63
mqproxy-tcp,asymmetric,1,3,330.14
mqproxy-tcp,asymmetric,1,4,329.94
mqproxy-tcp,asymmetric,1,5,329.76
mqproxy-tcp,asymmetric,2,1,339.42
mqproxy-tcp,asymmetric,2,2,348.17
mqproxy-tcp,asymmetric,2,3,348.33
mqproxy-tcp,asymmetric,2,4,346.45
mqproxy-tcp,asymmetric,2,5,342.78
mqproxy-tcp,asymmetric,4,1,345.09
mqproxy-tcp,asymmetric,4,2,349.54
mqproxy-tcp,asymmetric,4,3,349.75
mqproxy-tcp,asymmetric,4,4,346.97
mqproxy-tcp,asymmetric,4,5,350.64
mqproxy-tcp,asymmetric,8,1,347.50
mqproxy-tcp,asymmetric,8,2,348.60
mqproxy-tcp,asymmetric,8,3,351.21
mqproxy-tcp,asymmetric,8,4,349.60
mqproxy-tcp,asymmetric,8,5,348.60
mqproxy-tcp,asymmetric,16,1,348.86
mqproxy-tcp,asymmetric,16,2,350.07
mqproxy-tcp,asymmetric,16,3,350.81
mqproxy-tcp,asymmetric,16,4,351.06
mqproxy-tcp,asymmetric,16,5,348.97
